Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Chicago Bears,1,3,3,2,2,23,379.0,80.0,0,0,Home,Pittsburgh Steelers,3
Baltimore Ravens,1,3,0,1,1,9,170.0,94.0,0,1,Away,Houston Texans,3
Kansas City Chiefs,1,5,3,2,1,16,171.0,260.0,0,0,Home,Philadelphia Eagles,3
Green Bay Packers,1,4,3,1,1,34,215.0,82.0,0,0,Home,Cincinnati Bengals,3
Carolina Panthers,1,7,1,2,0,0,90.0,60.0,0,0,Away,New York Giants,3
Cleveland Browns,1,6,2,1,0,27,195.0,134.0,0,0,Home,Minnesota Vikings,3
New York Jets,1,8,0,0,0,20,208.0,120.0,0,0,Away,Buffalo Bills,3
Cincinnati Bengals,1,4,2,2,0,30,217.0,182.0,0,0,Away,Green Bay Packers,3
Washington Redskins,1,1,0,1,1,27,378.0,63.0,0,0,Away,Detroit Lions,3
Atlanta Falcons,1,5,1,1,0,27,195.0,90.0,0,0,Home,Miami Dolphins,3
Seattle Seahawks,1,4,1,2,0,17,214.0,51.0,0,0,Away,Jacksonville Jaguars,3
Minnesota Vikings,1,3,1,3,0,31,306.0,103.0,0,0,Away,Cleveland Browns,3
Dallas Cowboys,1,6,1,0,0,7,197.0,35.0,0,0,Away,St. Louis Rams,3
New Orleans Saints,1,4,0,2,0,7,161.0,86.0,0,0,Away,Arizona Cardinals,3
Arizona Cardinals,1,4,0,1,0,31,319.0,104.0,0,0,Home,New Orleans Saints,3
Philadelphia Eagles,1,5,0,0,0,26,248.0,147.0,0,0,Away,Kansas City Chiefs,3
Indianapolis Colts,1,3,1,1,0,7,139.0,115.0,0,0,Home,San Francisco 49ers,3
Jacksonville Jaguars,1,2,1,1,0,45,323.0,156.0,0,0,Home,Seattle Seahawks,3
New England Patriots,1,3,0,1,0,3,226.0,97.0,0,0,Away,Tampa Bay Buccaneers,3
Tampa Bay Buccaneers,1,3,0,1,0,23,202.0,156.0,0,0,Home,New England Patriots,3
Detroit Lions,1,2,1,1,0,20,300.0,120.0,0,0,Home,Washington Redskins,3
Oakland Raiders,1,1,2,0,0,37,372.0,164.0,0,0,Home,Denver Broncos,3
Tennessee Titans,1,2,1,0,0,17,175.0,102.0,0,0,Away,San Diego Chargers,3
Denver Broncos,1,3,0,0,0,21,293.0,49.0,0,0,Away,Oakland Raiders,3
New York Giants,1,1,1,1,0,38,208.0,194.0,0,0,Home,Carolina Panthers,3
Houston Texans,1,2,0,0,0,30,161.0,75.0,0,0,Home,Baltimore Ravens,3
Pittsburgh Steelers,1,2,0,0,0,40,151.0,107.0,0,0,Away,Chicago Bears,3
Buffalo Bills,1,0,0,2,0,27,331.0,182.0,0,0,Home,New York Jets,3
San Diego Chargers,1,2,0,0,0,20,282.0,170.0,0,0,Home,Tennessee Titans,3
Miami Dolphins,1,0,1,1,0,23,231.0,146.0,0,0,Away,Atlanta Falcons,3
St. Louis Rams,1,1,1,0,0,31,203.0,193.0,0,0,Home,Dallas Cowboys,3
San Francisco 49ers,1,1,0,0,0,27,157.0,179.0,0,0,Away,Indianapolis Colts,3
