,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Philadelphia Eagles,1,4,0,1,1,26,189.0,218.0,0,1
Kansas City Chiefs,1,3,1,2,1,14,215.0,75.0,0,0
Miami Dolphins,1,2,1,3,1,14,264.0,53.0,0,0
Houston Texans,1,2,0,2,1,17,220.0,96.0,0,0
New York Giants,1,2,2,4,0,14,243.0,86.0,0,0
San Diego Chargers,1,3,1,2,0,14,234.0,85.0,0,0
Tampa Bay Buccaneers,1,5,1,0,0,24,305.0,85.0,0,0
Indianapolis Colts,1,3,1,2,0,17,176.0,85.0,0,0
San Francisco 49ers,1,1,2,2,0,21,191.0,22.0,0,0
Buffalo Bills,1,2,1,2,0,23,264.0,37.0,0,0
Dallas Cowboys,1,2,2,1,0,17,334.0,104.0,0,0
Detroit Lions,1,2,1,1,0,17,204.0,132.0,0,0
New York Jets,1,4,0,0,0,24,272.0,88.0,0,0
Baltimore Ravens,1,2,1,0,0,10,248.0,67.0,0,0
Minnesota Vikings,1,1,0,2,0,28,288.0,123.0,0,0
Green Bay Packers,1,1,0,2,0,17,261.0,235.0,0,0
Oakland Raiders,1,0,2,1,0,38,278.0,157.0,0,0
New England Patriots,1,2,0,0,0,41,236.0,207.0,0,0
Washington Redskins,1,1,0,1,0,45,295.0,154.0,0,0
Pittsburgh Steelers,1,1,0,1,0,27,287.0,63.0,0,0
Jacksonville Jaguars,1,2,0,0,0,33,365.0,42.0,0,0
Tennessee Titans,1,0,0,1,0,41,393.0,105.0,0,0
Chicago Bears,1,1,0,0,0,38,302.0,56.0,0,0
New Orleans Saints,1,1,0,0,0,38,255.0,190.0,0,0
Atlanta Falcons,1,0,0,0,0,41,317.0,241.0,0,0
Carolina Panthers,1,0,0,0,0,38,327.0,127.0,0,0
