,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Knowshon Moreno,DEN,1,15,42,3,10,7,62,0
Marshawn Lynch,SEA,1,21,77,2,5,4,78,0
Jamaal Charles,KC,1,22,78,2,9,5,50,0
Brandon Jacobs,NYG,1,22,106,2,2,1,8,0
Stevan Ridley,NE,1,20,96,2,1,1,14,0
Arian Foster,HOU,1,20,141,0,7,4,57,0
Reggie Bush,DET,1,17,78,0,6,5,57,1
LeSean McCoy,PHI,1,25,116,0,2,2,55,0
Mike Tolbert,CAR,1,8,27,1,3,2,20,1
Giovani Bernard,CIN,1,15,28,0,7,6,72,1
Andre Ellington,ARI,1,7,56,1,5,5,36,0
Chris Ogbonnaya,CLE,1,5,24,0,12,7,61,1
Alfred Morris,WAS,1,16,81,1,1,0,0,0
Maurice Jones-Drew,JAC,1,21,71,1,2,2,3,0
Eddie Lacy,GB,1,23,120,0,1,1,5,0
DeAngelo Williams,CAR,1,17,64,0,5,5,53,0
Khiry Robinson,NO,1,7,53,1,0,0,0,0
Matt Forte,CHI,1,19,67,0,6,6,44,0
DeMarco Murray,DAL,1,7,29,1,2,2,21,0
Ryan Mathews,SD,1,22,102,0,1,0,0,0
Frank Gore,SF,1,25,101,0,0,0,0,0
Joseph Randle,DAL,1,11,17,1,2,2,15,0
Doug Martin,TB,1,16,67,0,4,4,24,0
Zac Stacy,STL,1,18,79,0,2,2,11,0
Ben Tate,HOU,1,10,12,1,4,3,16,0
BenJarvus Green-Ellis,CIN,1,18,86,0,1,0,0,0
Darren McFadden,OAK,1,16,52,0,3,3,31,0
Adrian Peterson,MIN,1,10,62,0,4,3,21,0
Danny Woodhead,SD,1,9,36,0,5,5,47,0
Pierre Thomas,NO,1,11,51,0,1,1,29,0
Roy Helu,WAS,1,6,42,0,6,4,35,0
Darren Sproles,NO,1,5,15,0,12,6,58,0
Kendall Hunter,SF,1,3,11,1,1,0,0,0
C.J. Spiller,BUF,1,10,55,0,2,2,11,0
Travaris Cadet,NO,1,0,0,0,1,1,3,1
Le'Veon Bell,PIT,1,16,34,0,3,3,22,0
Chris Johnson,TEN,1,12,33,0,4,3,21,0
Trent Richardson,IND,1,10,40,0,2,1,13,0
Bilal Powell,NYJ,1,9,30,0,3,3,20,0
Ray Rice,BAL,1,14,34,0,4,3,15,0
Fred Jackson,BUF,1,10,35,0,5,4,13,0
Rashard Mendenhall,ARI,1,10,40,0,1,1,2,0
Mike Goodson,NYJ,1,4,29,0,1,1,10,0
Willis McGahee,CLE,1,10,37,0,1,1,2,0
Ronnie Hillman,DEN,1,4,20,0,2,2,16,0
Robert Turbin,SEA,1,1,13,0,2,2,23,0
Donald Brown,IND,1,3,15,0,2,2,19,0
Joique Bell,DET,1,7,25,0,2,1,8,0
Tashard Choice,BUF,1,4,24,0,3,2,9,0
Felix Jones,PIT,1,5,18,0,1,1,15,0
