,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
LeSean McCoy,PHI,1,18,133,2,6,6,29,0
DeMarco Murray,DAL,1,22,96,1,3,3,15,1
Donald Brown,IND,1,10,79,1,3,2,31,1
Joique Bell,DET,1,20,91,1,10,10,63,0
Eddie Lacy,GB,1,15,84,2,3,2,6,0
Jamaal Charles,KC,1,13,106,1,6,5,38,0
LeGarrette Blount,NE,1,16,76,2,0,0,0,0
Le'Veon Bell,PIT,1,26,124,1,3,1,5,0
Ryan Mathews,SD,1,25,99,1,5,3,20,0
Fred Jackson,BUF,1,19,111,1,2,2,7,0
Bryce Brown,PHI,1,9,115,1,0,0,0,0
Zac Stacy,STL,1,33,104,1,1,1,5,0
Frank Gore,SF,1,21,97,1,1,1,6,0
Shonn Greene,TEN,1,19,91,1,1,1,0,0
Alfred Morris,WAS,1,24,88,1,1,0,0,0
Edwin Baker,CLE,1,17,64,1,3,2,12,0
DeAngelo Williams,CAR,1,12,67,1,1,1,0,0
Chris Ivory,NYJ,1,20,109,0,0,0,0,0
Steven Jackson,ATL,1,16,53,1,2,2,-4,0
C.J. Spiller,BUF,1,20,77,0,4,3,26,0
Knowshon Moreno,DEN,1,11,76,0,4,2,26,0
Bobby Rainey,TB,1,20,37,1,1,1,4,0
BenJarvus Green-Ellis,CIN,1,12,24,1,2,1,10,0
Chris Johnson,TEN,1,22,90,0,1,1,3,0
Mark Ingram,NO,1,13,83,0,1,1,7,0
Chris Polk,PHI,1,2,12,1,1,1,8,0
Bilal Powell,NYJ,1,7,54,0,5,4,26,0
Marshawn Lynch,SEA,1,18,71,0,2,2,5,0
Darren McFadden,OAK,1,4,8,1,3,1,8,0
Andre Ellington,ARI,1,15,64,0,3,2,8,0
Rashad Jennings,OAK,1,10,45,0,3,3,27,0
John Kuhn,GB,1,3,12,1,1,0,0,0
James Starks,GB,1,10,47,0,1,1,23,0
Shane Vereen,NE,1,2,6,0,2,1,4,1
Maurice Jones-Drew,JAC,1,13,45,0,5,4,24,0
Theo Riddick,DET,1,2,8,1,0,0,0,0
Danny Woodhead,SD,1,8,52,0,3,3,16,0
Giovani Bernard,CIN,1,13,20,0,4,2,47,0
Rashard Mendenhall,ARI,1,21,63,0,0,0,0,0
Ray Rice,BAL,1,11,40,0,3,2,23,0
Bernard Pierce,BAL,1,10,31,0,5,3,27,0
Trent Richardson,IND,1,16,43,0,5,3,15,0
Andre Brown,NYG,1,16,40,0,3,2,14,0
Matt Forte,CHI,1,9,29,0,5,4,25,0
Stevan Ridley,NE,1,15,54,0,1,0,0,0
Kendall Hunter,SF,1,3,51,0,0,0,0,0
Adrian Peterson,MIN,1,11,45,0,1,1,2,0
Reggie Bush,DET,1,12,34,0,4,2,10,0
Montee Ball,DEN,1,4,32,0,1,0,0,0
Dennis Johnson,HOU,1,12,29,0,4,2,1,0
