,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Victor Cruz,NYG,1,8,5,118,3,0,0,0
A.J. Green,CIN,1,13,9,162,2,0,0,0
Demaryius Thomas,DEN,1,11,5,161,2,0,0,0
Anquan Boldin,SF,1,17,13,208,1,0,0,0
Larry Fitzgerald,ARI,1,14,8,80,2,0,0,0
Leonard Hankerson,WAS,1,7,5,80,2,0,0,0
Julian Edelman,NE,1,9,7,79,2,0,0,0
Jordy Nelson,GB,1,10,7,130,1,0,0,0
Wes Welker,DEN,1,11,9,67,2,0,0,0
Randall Cobb,GB,1,12,7,108,1,2,6,0
Brian Hartline,MIA,1,15,9,114,1,0,0,0
DeSean Jackson,PHI,1,9,7,104,1,0,0,0
Brandon Marshall,CHI,1,10,8,104,1,0,0,0
Reggie Wayne,IND,1,8,8,96,1,0,0,0
Vincent Jackson,TB,1,13,7,154,0,0,0,0
Andre Johnson,HOU,1,16,12,146,0,0,0,0
Eddie Royal,SD,1,6,3,24,2,0,0,0
Jerome Simpson,MIN,1,8,7,140,0,0,0,0
Julio Jones,ATL,1,9,7,76,1,0,0,0
Marques Colston,NO,1,6,5,68,1,0,0,0
Marlon Brown,BAL,1,6,4,65,1,0,0,0
Hakeem Nicks,NYG,1,8,5,114,0,0,0,0
Terrelle Pryor,OAK,1,0,0,0,0,13,112,0
Mike Williams,TB,1,8,4,52,1,0,0,0
Steve Smith,CAR,1,8,6,51,1,0,0,0
Jermaine Kearse,SEA,1,2,2,49,1,0,0,0
Danny Amendola,NE,1,14,10,104,0,0,0,0
Denarius Moore,OAK,1,7,5,43,1,0,0,0
Rueben Randle,NYG,1,6,5,101,0,0,0,0
Steve Johnson,BUF,1,6,3,39,1,0,0,0
Andre Roberts,ARI,1,9,8,97,0,0,0,0
Doug Baldwin,SEA,1,8,7,91,0,1,3,0
Jerricho Cotchery,PIT,1,7,4,34,1,0,0,0
Harry Douglas,ATL,1,6,4,93,0,0,0,0
Torrey Smith,BAL,1,8,4,92,0,0,0,0
Andre Caldwell,DEN,1,1,1,28,1,0,0,0
Kenny Stills,NO,1,5,2,86,0,0,0,0
Michael Floyd,ARI,1,6,4,82,0,0,0,0
Rod Streater,OAK,1,8,5,70,0,1,9,0
Nate Burleson,DET,1,6,6,78,0,0,0,0
Robert Woods,BUF,1,2,1,18,1,0,0,0
Brandon Gibson,MIA,1,10,7,77,0,0,0,0
Antonio Brown,PIT,1,7,5,71,0,1,4,0
Vincent Brown,SD,1,4,2,13,1,0,0,0
Miles Austin,DAL,1,12,10,72,0,0,0,0
Donnie Avery,KC,1,5,2,11,1,0,0,0
DeAndre Hopkins,HOU,1,6,5,66,0,0,0,0
Pierre Garcon,WAS,1,11,7,64,0,0,0,0
Junior Hemingway,KC,1,1,1,3,1,0,0,0
Emmanuel Sanders,PIT,1,12,7,57,0,0,0,0
