,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Marques Colston,NO,1,13,9,125,2,0,0,0
Josh Gordon,CLE,1,10,7,151,1,1,34,0
Da'Rick Rogers,IND,1,9,6,107,2,0,0,0
Cordarrelle Patterson,MIN,1,7,5,141,1,1,6,0
Antonio Brown,PIT,1,9,5,137,1,0,0,0
Rod Streater,OAK,1,10,7,130,1,0,0,0
Keenan Allen,SD,1,3,3,59,2,0,0,0
Eric Decker,DEN,1,12,8,117,1,0,0,0
Justin Hunter,TEN,1,8,4,114,1,0,0,0
LaVon Brazill,IND,1,4,3,53,2,0,0,0
Larry Fitzgerald,ARI,1,12,12,96,1,0,0,0
Andre Johnson,HOU,1,21,13,154,0,0,0,0
Marlon Brown,BAL,1,11,7,92,1,0,0,0
Demaryius Thomas,DEN,1,10,7,88,1,0,0,0
Alshon Jeffery,CHI,1,9,5,84,1,1,-7,0
Hakeem Nicks,NYG,1,7,5,135,0,0,0,0
A.J. Green,CIN,1,8,6,72,1,0,0,0
Vincent Jackson,TB,1,8,3,70,1,0,0,0
Dwayne Bowe,KC,1,5,4,69,1,0,0,0
Julian Edelman,NE,1,9,6,64,1,0,0,0
Jerricho Cotchery,PIT,1,9,5,62,1,0,0,0
Wes Welker,DEN,1,10,5,61,1,0,0,0
Marvin Jones,CIN,1,4,3,60,1,1,-3,0
Emmanuel Sanders,PIT,1,6,4,57,1,0,0,0
Brian Hartline,MIA,1,8,5,51,1,0,0,0
DeSean Jackson,PHI,1,6,4,59,1,1,-10,0
Steve Smith,CAR,1,8,6,49,1,0,0,0
Jerome Simpson,MIN,1,8,4,48,1,0,0,0
Jeremy Kerley,NYJ,1,7,4,41,1,1,3,0
Brandon Marshall,CHI,1,8,6,100,0,0,0,0
Danny Amendola,NE,1,8,4,36,1,0,0,0
Drew Davis,ATL,1,1,1,36,1,0,0,0
Anquan Boldin,SF,1,8,6,93,0,0,0,0
Keshawn Martin,HOU,1,6,4,28,1,0,0,0
Jordy Nelson,GB,1,4,4,85,0,0,0,0
Cole Beasley,DAL,1,3,2,20,1,0,0,0
Earl Bennett,CHI,1,2,2,18,1,0,0,0
DeAndre Hopkins,HOU,1,7,3,76,0,0,0,0
Riley Cooper,PHI,1,9,3,74,0,0,0,0
Roddy White,ATL,1,10,8,74,0,0,0,0
Cecil Shorts,JAC,1,6,2,13,1,0,0,0
Dez Bryant,DAL,1,4,2,12,1,0,0,0
Steve Johnson,BUF,1,11,5,67,0,0,0,0
Aldrick Robinson,WAS,1,6,4,67,0,0,0,0
Tavon Austin,STL,1,1,1,9,0,1,56,0
Golden Tate,SEA,1,8,6,65,0,0,0,0
Andre Holmes,OAK,1,7,3,63,0,0,0,0
Santonio Holmes,NYJ,1,5,3,55,0,0,0,0
Greg Jennings,MIN,1,10,5,53,0,0,0,0
Josh Boyce,NE,1,5,3,49,0,0,0,0
