,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Josh Gordon,CLE,1,17,14,237,1,0,0,0
Julian Edelman,NE,1,11,9,110,2,0,0,0
Tiquan Underwood,TB,1,5,3,108,2,0,0,0
Anquan Boldin,SF,1,6,5,94,2,0,0,0
Mike Wallace,MIA,1,10,5,127,1,0,0,0
Brandon Marshall,CHI,1,12,10,117,1,0,0,0
Larry Fitzgerald,ARI,1,11,5,52,2,1,4,0
Justin Hunter,TEN,1,6,6,109,1,0,0,0
Tavon Austin,STL,1,5,2,39,0,1,65,1
Jacoby Jones,BAL,1,6,4,103,1,0,0,0
Kendall Wright,TEN,1,7,6,103,1,0,0,0
Donnie Avery,KC,1,5,4,91,1,0,0,0
Antonio Brown,PIT,1,10,6,92,1,1,-8,0
Nate Burleson,DET,1,10,7,77,1,1,0,0
Keenan Allen,SD,1,12,9,124,0,0,0,0
Jarrett Boykin,GB,1,10,5,60,1,0,0,0
Calvin Johnson,DET,1,14,7,115,0,0,0,0
Emmanuel Sanders,PIT,1,7,6,52,1,0,0,0
Dwayne Bowe,KC,1,6,5,51,1,0,0,0
Michael Floyd,ARI,1,7,7,104,0,0,0,0
Dez Bryant,DAL,1,16,9,102,0,0,0,0
Demaryius Thomas,DEN,1,9,4,41,1,0,0,0
Rod Streater,OAK,1,9,5,93,0,0,0,0
Eddie Royal,SD,1,4,4,87,0,0,0,0
Seyi Ajirotutu,SD,1,1,1,26,1,0,0,0
James Jones,GB,1,12,7,80,0,0,0,0
Harry Douglas,ATL,1,11,9,79,0,0,0,0
Brian Hartline,MIA,1,5,5,78,0,0,0,0
Torrey Smith,BAL,1,4,2,74,0,0,0,0
Cecil Shorts,JAC,1,11,8,71,0,0,0,0
Steve Smith,CAR,1,8,5,69,0,0,0,0
Darius Johnson,ATL,1,8,6,67,0,0,0,0
Louis Murphy,NYG,1,1,1,4,1,0,0,0
Rueben Randle,NYG,1,7,3,64,0,0,0,0
Vincent Jackson,TB,1,3,2,61,0,0,0,0
Ace Sanders,JAC,1,5,4,61,0,0,0,0
Earl Bennett,CHI,1,8,8,58,0,0,0,0
Jordy Nelson,GB,1,7,4,58,0,0,0,0
Kenbrell Thompkins,NE,1,9,6,56,0,0,0,0
Cordarrelle Patterson,MIN,1,11,8,54,0,0,0,0
Jerome Simpson,MIN,1,4,2,54,0,0,0,0
Pierre Garcon,WAS,1,11,8,48,0,0,0,0
Greg Salas,NYJ,1,3,2,48,0,0,0,0
Kris Durham,DET,1,6,3,46,0,0,0,0
Alshon Jeffery,CHI,1,8,4,42,0,1,4,0
Mario Manningham,SF,1,7,4,45,0,0,0,0
Josh Morgan,WAS,1,6,5,45,0,0,0,0
Nate Washington,TEN,1,6,5,45,0,0,0,0
Andre Roberts,ARI,1,5,3,43,0,0,0,0
Marques Colston,NO,1,6,4,40,0,0,0,0
