,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Alshon Jeffery,CHI,1,13,10,218,1,0,0,0
Dez Bryant,DAL,1,10,6,141,2,0,0,0
T.Y. Hilton,IND,1,6,5,140,2,0,0,0
Rueben Randle,NYG,1,13,6,96,2,0,0,0
Terrance Williams,DAL,1,4,4,151,1,1,2,0
Justin Blackmon,JAC,1,9,5,136,1,0,0,0
DeSean Jackson,PHI,1,12,7,132,1,0,0,0
James Jones,GB,1,6,4,127,1,0,0,0
Keenan Allen,SD,1,9,6,115,1,0,0,0
Austin Pettis,STL,1,5,4,49,2,0,0,0
Eric Decker,DEN,1,8,5,87,1,0,0,0
Josh Gordon,CLE,1,6,4,86,1,0,0,0
Denarius Moore,OAK,1,8,5,84,1,0,0,0
Hakeem Nicks,NYG,1,12,9,142,0,0,0,0
Cecil Shorts,JAC,1,10,5,74,1,0,0,0
Jeremy Kerley,NYJ,1,6,5,68,1,0,0,0
Torrey Smith,BAL,1,9,6,121,0,0,0,0
Golden Tate,SEA,1,11,5,61,1,0,0,0
Vincent Brown,SD,1,9,8,117,0,0,0,0
Rod Streater,OAK,1,3,3,56,1,0,0,0
Wes Welker,DEN,1,6,5,49,1,0,0,0
Cole Beasley,DAL,1,4,4,47,1,0,0,0
Randall Cobb,GB,1,8,4,35,0,2,72,0
Mike Wallace,MIA,1,16,7,105,0,0,0,0
Julio Jones,ATL,1,11,8,99,0,0,0,0
Donnie Avery,KC,1,4,3,91,0,0,0,0
Kris Durham,DET,1,8,3,30,1,0,0,0
Brandon Marshall,CHI,1,5,4,30,1,0,0,0
Jermaine Kearse,SEA,1,1,1,28,1,0,0,0
Jordy Nelson,GB,1,7,5,82,0,0,0,0
Doug Baldwin,SEA,1,9,5,80,0,0,0,0
Ted Ginn Jr.,CAR,1,5,4,78,0,0,0,0
Brandon Gibson,MIA,1,5,4,74,0,0,0,0
Kendall Wright,TEN,1,8,6,74,0,0,0,0
Greg Little,CLE,1,5,3,71,0,0,0,0
Reggie Wayne,IND,1,9,6,65,0,0,0,0
Robert Woods,BUF,1,13,5,64,0,0,0,0
Michael Floyd,ARI,1,7,5,61,0,0,0,0
A.J. Green,CIN,1,8,5,61,0,0,0,0
Brian Hartline,MIA,1,7,4,60,0,0,0,0
Steve Smith,CAR,1,10,4,60,0,0,0,0
Tandon Doss,BAL,1,5,3,58,0,0,0,0
Demaryius Thomas,DEN,1,6,5,57,0,0,0,0
Danny Amendola,NE,1,9,4,55,0,0,0,0
Aaron Dobson,NE,1,4,2,49,0,0,0,0
Victor Cruz,NYG,1,12,5,48,0,0,0,0
Marvin Jones,CIN,1,2,2,39,0,1,8,0
Brandon LaFell,CAR,1,9,4,47,0,0,0,0
Brian Quick,STL,1,2,2,45,0,0,0,0
Roddy White,ATL,1,4,4,45,0,0,0,0
