,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Rashad Jennings,NYG,1,27,170,1,5,2,6,0
Ronnie Hillman,DEN,1,15,117,1,3,2,10,0
Jeremy Hill,CIN,1,16,96,1,3,2,19,0
Jonathan Grimes,HOU,1,4,26,1,5,4,28,1
Matt Forte,CHI,1,17,76,0,3,3,34,1
Tim Hightower,NO,1,16,66,1,5,5,41,0
Devonta Freeman,ATL,1,24,81,0,4,2,18,1
DuJuan Harris,SF,1,16,67,0,12,8,86,0
C.J. Anderson,DEN,1,15,95,1,3,1,-5,0
Darren McFadden,DAL,1,12,92,0,8,5,53,0
Spencer Ware,KC,1,16,76,1,0,0,0,0
David Cobb,TEN,1,19,73,1,0,0,0,0
DeMarco Murray,PHI,1,12,69,1,1,0,0,0
Adrian Peterson,MIN,1,19,67,1,1,1,1,0
Cameron Artis-Payne,CAR,1,14,44,1,2,2,17,0
Steven Jackson,NE,1,14,35,1,1,1,20,0
Doug Martin,TB,1,15,48,0,7,7,60,0
Alfred Blue,HOU,1,21,102,0,1,1,2,0
Tre Mason,STL,1,18,44,1,0,0,0,0
Darren Sproles,PHI,1,3,24,1,3,3,20,0
Christine Michael,SEA,1,17,102,0,1,0,0,0
Alfred Morris,WAS,1,19,100,0,0,0,0,0
Donald Brown,SD,1,21,81,0,3,2,10,0
Charles Sims,TB,1,4,15,0,11,9,74,0
Karlos Williams,BUF,1,6,24,1,3,3,3,0
Shane Vereen,NYG,1,4,12,0,8,6,72,0
Travaris Cadet,NO,1,3,6,0,6,6,77,0
Chris Ivory,NYJ,1,6,81,0,0,0,0,0
Bryce Brown,SEA,1,10,20,1,0,0,0,0
Kyle Juszczyk,BAL,1,0,0,0,2,2,18,1
Frank Gore,IND,1,19,76,0,4,0,0,0
Benny Cunningham,STL,1,4,38,0,3,3,34,0
Javorius Allen,BAL,1,15,38,0,10,6,32,0
James White,NE,1,3,5,0,3,2,63,0
Will Tukuafu,SEA,1,0,0,0,1,1,7,1
Mike Tolbert,CAR,1,10,59,0,1,1,5,0
Lamar Miller,MIA,1,19,60,0,2,1,3,0
Danny Woodhead,SD,1,5,11,0,10,8,51,0
David Johnson,ARI,1,11,25,0,8,3,34,0
Joique Bell,DET,1,3,9,0,2,2,49,0
Latavius Murray,OAK,1,11,31,0,6,4,25,0
Akeem Hunt,HOU,1,3,28,0,3,1,27,0
Isaiah Crowell,CLE,1,15,53,0,0,0,0,0
Ameer Abdullah,DET,1,10,44,0,1,1,7,0
Mike Davis,SF,1,10,34,0,3,2,15,0
Damien Williams,MIA,1,3,11,0,3,3,38,0
Giovani Bernard,CIN,1,6,36,0,3,1,12,0
Jerick McKinnon,MIN,1,4,15,0,4,3,33,0
Duke Johnson,CLE,1,4,11,0,6,4,34,0
James Starks,GB,1,8,24,0,3,3,18,0
