,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
A.J. Green,CIN,1,13,10,227,2,0,0,0
Steve Smith,BAL,1,17,13,186,2,0,0,0
Julio Jones,ATL,1,20,12,164,2,0,0,0
Randall Cobb,GB,1,12,7,91,3,1,12,0
Larry Fitzgerald,ARI,1,11,9,134,2,0,0,0
Keenan Allen,SD,1,18,12,133,2,0,0,0
Rishard Matthews,MIA,1,10,6,113,2,0,0,0
Jeremy Maclin,KC,1,11,8,141,1,0,0,0
James Jones,GB,1,8,7,139,1,0,0,0
Rueben Randle,NYG,1,7,7,116,1,0,0,0
Brandon Marshall,NYJ,1,14,10,109,1,0,0,0
Kendall Wright,TEN,1,12,7,95,1,1,13,0
DeAndre Hopkins,HOU,1,14,8,101,1,0,0,0
Marvin Jones,CIN,1,8,5,94,1,0,0,0
Demaryius Thomas,DEN,1,13,9,92,1,0,0,0
Odell Beckham Jr.,NYG,1,9,7,79,1,0,0,0
Amari Cooper,OAK,1,11,8,134,0,0,0,0
Allen Hurns,JAC,1,4,2,70,1,0,0,0
Seth Roberts,OAK,1,5,3,56,1,0,0,0
Antonio Brown,PIT,1,13,11,108,0,0,0,0
Travis Benjamin,CLE,1,10,4,45,1,0,0,0
Phillip Dorsett,IND,1,3,2,43,1,0,0,0
Kenny Britt,STL,1,10,7,102,0,0,0,0
Chris Hogan,BUF,1,4,3,42,1,0,0,0
Mike Evans,TB,1,17,7,101,0,0,0,0
Danny Amendola,NE,1,5,5,39,1,0,0,0
Brian Hartline,CLE,1,7,5,96,0,0,0,0
T.Y. Hilton,IND,1,7,4,94,0,0,0,0
Ted Ginn Jr.,CAR,1,6,4,93,0,0,0,0
Jeremy Kerley,NYJ,1,11,6,33,1,0,0,0
Keshawn Martin,NE,1,3,3,33,1,0,0,0
Donte Moncrief,IND,1,7,4,32,1,0,0,0
Emmanuel Sanders,DEN,1,9,6,87,0,0,0,0
Julian Edelman,NE,1,11,8,85,0,0,0,0
Dorial Green-Beckham,TEN,1,3,2,22,1,0,0,0
Percy Harvin,BUF,1,8,7,66,0,2,16,0
Brandin Cooks,NO,1,8,7,79,0,0,0,0
Calvin Johnson,DET,1,13,8,77,0,0,0,0
Jermaine Kearse,SEA,1,6,6,76,0,0,0,0
Ty Montgomery,GB,1,2,2,14,1,0,0,0
Allen Robinson,JAC,1,9,4,68,0,0,0,0
Jarvis Landry,MIA,1,13,8,67,0,1,-1,0
Pierre Garcon,WAS,1,12,5,64,0,0,0,0
Malcom Floyd,SD,1,7,4,63,0,0,0,0
Andre Holmes,OAK,1,1,1,3,1,0,0,0
John Brown,ARI,1,5,3,62,0,0,0,0
Louis Murphy,TB,1,6,3,61,0,0,0,0
Cecil Shorts,HOU,1,9,6,58,0,0,0,0
Golden Tate,DET,1,7,5,57,0,0,0,0
Quincy Enunwa,NYJ,1,10,5,50,0,0,0,0
