,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Adrian Peterson,MIN,1,29,158,2,4,2,29,0
C.J. Anderson,DEN,1,15,113,2,4,4,40,0
Eddie Lacy,GB,1,17,105,0,5,4,34,1
DeAngelo Williams,PIT,1,8,29,1,7,7,88,0
Spencer Ware,KC,1,19,114,1,3,3,1,0
Chris Ivory,NYJ,1,21,87,1,2,2,15,0
LeSean McCoy,BUF,1,19,70,0,5,3,31,1
Brandon Bolden,NE,1,4,11,0,4,4,84,1
Javorius Allen,BAL,1,12,55,0,5,4,29,1
Joique Bell,DET,1,7,25,1,3,2,57,0
Alfred Blue,HOU,1,16,77,1,1,1,4,0
Thomas Rawls,SEA,1,21,81,1,1,0,0,0
Theo Riddick,DET,1,2,6,0,5,5,62,1
Ronnie Hillman,DEN,1,14,59,1,1,1,0,0
Jeremy Langford,CHI,1,12,48,1,3,1,5,0
Tevin Coleman,ATL,1,18,110,0,2,0,0,0
Jeremy Hill,CIN,1,16,86,0,1,1,14,0
Doug Martin,TB,1,14,97,0,3,1,1,0
Mark Ingram,NO,1,9,52,0,8,6,45,0
Alfred Morris,WAS,1,23,78,0,1,1,12,0
David Johnson,ARI,1,8,21,1,4,2,8,0
Shaun Draughn,SF,1,15,51,0,5,5,35,0
Latavius Murray,OAK,1,22,59,0,3,1,23,0
T.J. Yeldon,JAC,1,9,36,0,5,4,46,0
Melvin Gordon,SD,1,14,60,0,5,5,20,0
James Starks,GB,1,7,39,0,5,4,41,0
Jonathan Stewart,CAR,1,21,68,0,4,3,9,0
Ameer Abdullah,DET,1,16,63,0,2,1,12,0
Giovani Bernard,CIN,1,10,16,0,3,2,51,0
Matt Jones,WAS,1,8,19,0,1,1,45,0
Jalston Fowler,TEN,1,1,1,0,1,1,1,1
Jay Ajayi,MIA,1,3,6,0,6,4,52,0
Darren McFadden,DAL,1,10,11,0,6,4,45,0
Matt Forte,CHI,1,15,44,0,1,1,9,0
Duke Johnson,CLE,1,7,27,0,6,5,23,0
Danny Woodhead,SD,1,4,8,0,6,6,39,0
Antonio Andrews,TEN,1,11,32,0,2,1,14,0
Andre Ellington,ARI,1,5,24,0,5,3,22,0
Charles Sims,TB,1,4,8,0,3,3,31,0
Frank Gore,IND,1,19,24,0,3,2,13,0
Terrance West,BAL,1,7,37,0,0,0,0,0
Shane Vereen,NYG,1,2,15,0,5,4,21,0
Tre Mason,STL,1,1,-2,0,7,7,37,0
Bilal Powell,NYJ,1,6,28,0,5,2,7,0
Jonathan Grimes,HOU,1,7,25,0,1,1,8,0
Jerick McKinnon,MIN,1,5,33,0,0,0,0,0
Denard Robinson,JAC,1,3,23,0,1,1,9,0
Kenjon Barner,PHI,1,7,30,0,1,1,1,0
Todd Gurley,STL,1,9,19,0,2,1,11,0
DeMarco Murray,PHI,1,14,30,0,0,0,0,0
