Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent,Week
Arizona Cardinals,1,2,0,2,1,23,241.0,109.0,0,1,Home,Chicago Bears,2
Cleveland Browns,1,7,3,0,0,14,257.0,166.0,0,1,Away,Tennessee Titans,2
Denver Broncos,1,4,3,2,1,24,191.0,144.0,0,0,Home,Kansas City Chiefs,2
New England Patriots,1,8,0,3,0,32,242.0,160.0,0,0,Home,Buffalo Bills,2
Kansas City Chiefs,1,3,0,1,1,31,256.0,61.0,0,0,Away,Denver Broncos,2
Cincinnati Bengals,1,4,2,1,0,19,241.0,131.0,0,0,Away,San Diego Chargers,2
Tampa Bay Buccaneers,1,4,2,1,0,19,255.0,104.0,0,0,Home,New Orleans Saints,2
Pittsburgh Steelers,1,5,1,0,0,18,335.0,111.0,0,0,Away,San Francisco 49ers,2
New York Jets,1,0,2,3,0,7,250.0,93.0,0,0,Home,Indianapolis Colts,2
Philadelphia Eagles,1,3,2,0,0,20,268.0,113.0,0,0,Away,Dallas Cowboys,2
New Orleans Saints,1,3,2,0,0,26,207.0,139.0,0,0,Away,Tampa Bay Buccaneers,2
Green Bay Packers,1,2,1,1,0,17,206.0,119.0,0,0,Away,Seattle Seahawks,2
Buffalo Bills,1,2,2,0,0,40,466.0,56.0,0,0,Away,New England Patriots,2
Minnesota Vikings,1,1,2,1,0,16,286.0,38.0,0,0,Away,Detroit Lions,2
Dallas Cowboys,1,1,1,2,0,10,224.0,7.0,0,0,Home,Philadelphia Eagles,2
Atlanta Falcons,1,2,1,0,0,20,292.0,97.0,0,0,Home,New York Giants,2
Houston Texans,1,2,0,1,0,24,195.0,172.0,0,0,Home,Carolina Panthers,2
Seattle Seahawks,1,2,1,0,0,27,249.0,127.0,0,0,Home,Green Bay Packers,2
St. Louis Rams,1,2,1,0,0,24,203.0,182.0,0,0,Home,Washington Redskins,2
Oakland Raiders,1,0,1,1,0,33,384.0,109.0,0,0,Away,Baltimore Ravens,2
Baltimore Ravens,1,1,0,1,0,37,351.0,97.0,0,0,Home,Oakland Raiders,2
Indianapolis Colts,1,1,0,1,0,20,244.0,101.0,0,0,Away,New York Jets,2
Jacksonville Jaguars,1,2,0,0,0,20,359.0,42.0,0,0,Away,Miami Dolphins,2
San Diego Chargers,1,0,2,0,0,24,214.0,175.0,0,0,Home,Cincinnati Bengals,2
Carolina Panthers,1,1,0,1,0,17,244.0,61.0,0,0,Away,Houston Texans,2
Chicago Bears,1,0,1,1,0,48,185.0,115.0,0,0,Away,Arizona Cardinals,2
Tennessee Titans,1,2,0,0,0,28,172.0,116.0,0,0,Home,Cleveland Browns,2
New York Giants,1,2,0,0,0,24,363.0,56.0,0,0,Away,Atlanta Falcons,2
Detroit Lions,1,1,1,0,0,26,153.0,199.0,0,0,Home,Minnesota Vikings,2
Washington Redskins,1,1,0,0,0,10,150.0,67.0,0,0,Away,St. Louis Rams,2
Miami Dolphins,1,0,0,0,0,23,273.0,123.0,0,0,Home,Jacksonville Jaguars,2
San Francisco 49ers,1,0,0,0,0,43,369.0,84.0,0,0,Home,Pittsburgh Steelers,2
