Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD,Home or Away,Opponent
Seattle Seahawks,1,2,3,0,1,34,297.0,76.0,0,1,Home,St. Louis Rams
Carolina Panthers,1,5,1,2,1,9,183.0,96.0,0,0,Home,Jacksonville Jaguars
St. Louis Rams,1,6,0,1,0,31,251.0,124.0,0,1,Away,Seattle Seahawks
Tennessee Titans,1,4,0,2,1,14,210.0,92.0,0,0,Home,Tampa Bay Buccaneers
Baltimore Ravens,1,4,0,1,1,19,175.0,69.0,0,0,Home,Denver Broncos
Detroit Lions,1,2,1,2,1,33,404.0,95.0,0,0,Home,San Diego Chargers
Denver Broncos,1,2,0,2,1,13,117.0,73.0,0,0,Away,Baltimore Ravens
Miami Dolphins,1,1,0,2,0,10,196.0,161.0,0,1,Home,Washington Redskins
New York Giants,1,0,1,2,1,27,356.0,80.0,0,0,Home,Dallas Cowboys
New York Jets,1,3,4,1,0,10,231.0,104.0,0,0,Away,Cleveland Browns
Kansas City Chiefs,1,5,1,1,0,20,334.0,98.0,0,0,Home,Houston Texans
San Francisco 49ers,1,5,0,1,0,3,231.0,71.0,0,0,Away,Minnesota Vikings
Buffalo Bills,1,2,1,2,0,14,243.0,64.0,0,0,Away,Indianapolis Colts
Cincinnati Bengals,1,2,1,1,0,13,203.0,63.0,0,0,Home,Oakland Raiders
New England Patriots,1,3,0,1,0,21,351.0,134.0,0,0,Away,Pittsburgh Steelers
Washington Redskins,1,3,1,0,0,17,226.0,74.0,0,0,Away,Miami Dolphins
Arizona Cardinals,1,2,0,1,0,19,355.0,54.0,0,0,Away,New Orleans Saints
Green Bay Packers,1,2,0,1,0,23,225.0,189.0,0,0,Home,Chicago Bears
Philadelphia Eagles,1,1,0,2,0,26,298.0,105.0,0,0,Home,Atlanta Falcons
Jacksonville Jaguars,1,2,0,1,0,20,175.0,105.0,0,0,Away,Carolina Panthers
San Diego Chargers,1,1,0,2,0,28,246.0,69.0,0,0,Away,Detroit Lions
Tampa Bay Buccaneers,1,2,1,0,0,42,209.0,124.0,0,0,Away,Tennessee Titans
Atlanta Falcons,1,0,0,2,0,24,336.0,63.0,0,0,Away,Philadelphia Eagles
Houston Texans,1,2,0,0,0,27,243.0,97.0,0,0,Away,Kansas City Chiefs
Pittsburgh Steelers,1,2,0,0,0,28,288.0,80.0,0,0,Home,New England Patriots
Minnesota Vikings,1,1,1,0,0,20,165.0,230.0,0,0,Home,San Francisco 49ers
Cleveland Browns,1,0,0,1,0,31,179.0,154.0,0,0,Home,New York Jets
Dallas Cowboys,1,1,0,0,0,26,193.0,99.0,0,0,Away,New York Giants
New Orleans Saints,1,0,1,0,0,31,307.0,120.0,0,0,Home,Arizona Cardinals
Oakland Raiders,1,0,0,0,0,33,269.0,127.0,0,0,Away,Cincinnati Bengals
Indianapolis Colts,1,0,0,0,0,27,195.0,147.0,0,0,Home,Buffalo Bills
Chicago Bears,1,0,0,0,0,31,189.0,133.0,0,0,Away,Green Bay Packers
