,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
C.J. Anderson,DEN,1,13,87,3,3,2,20,0
Lamar Miller,MIA,1,19,178,1,2,0,0,0
DeMarco Murray,DAL,1,20,100,1,3,3,21,0
Terrance West,CLE,1,18,94,1,3,2,12,0
Jordan Todman,JAC,1,7,52,0,6,5,46,1
Marshawn Lynch,SEA,1,14,60,1,3,3,36,0
Frank Gore,SF,1,25,144,0,3,2,5,0
Alfred Blue,HOU,1,17,39,1,6,6,37,0
Justin Forsett,BAL,1,17,119,0,4,2,17,0
Branden Oliver,SD,1,14,71,1,2,2,4,0
Charles Sims,TB,1,18,69,1,2,1,6,0
Joseph Randle,DAL,1,4,69,1,2,1,3,0
Eddie Lacy,GB,1,26,100,0,4,3,26,0
Giovani Bernard,CIN,1,3,8,0,8,7,56,1
Andre Williams,NYG,1,15,43,1,3,3,19,0
Mark Ingram,NO,1,14,57,1,3,2,4,0
LeSean McCoy,PHI,1,17,99,0,1,1,15,0
Jeremy Hill,CIN,1,23,100,0,3,2,10,0
Matt Asiata,MIN,1,19,91,0,4,2,17,0
Doug Martin,TB,1,19,108,0,0,0,0,0
Le'Veon Bell,PIT,1,8,20,0,6,6,80,0
Chris Polk,PHI,1,7,38,1,1,0,0,0
Chris Ivory,NYJ,1,13,29,0,1,1,8,1
Latavius Murray,OAK,1,10,37,0,4,4,60,0
Khiry Robinson,NO,1,7,15,1,2,2,22,0
Anthony Dixon,BUF,1,7,27,1,1,1,8,0
Shonn Greene,TEN,1,11,94,0,0,0,0,0
Theo Riddick,DET,1,0,0,0,7,5,34,1
Arian Foster,HOU,1,5,23,0,1,1,10,1
Roy Helu,WAS,1,6,42,0,5,4,41,0
Bruce Miller,SF,1,0,0,0,5,3,17,1
Matt Forte,CHI,1,17,51,0,12,8,23,0
Jonathan Stewart,CAR,1,13,49,0,2,2,20,0
Jonathan Grimes,HOU,1,11,45,0,3,2,23,0
Benny Cunningham,STL,1,4,10,0,7,7,57,0
Kerwynn Williams,ARI,1,17,67,0,1,0,0,0
Dan Herron,IND,1,10,35,0,3,3,31,0
Zurlon Tipton,IND,1,9,21,0,2,2,45,0
Robert Turbin,SEA,1,11,53,0,1,1,13,0
Jacquizz Rodgers,ATL,1,9,44,0,7,3,19,0
LeGarrette Blount,NE,1,10,62,0,0,0,0,0
Jamaal Charles,KC,1,13,54,0,3,2,8,0
Fred Jackson,BUF,1,18,58,0,3,1,4,0
Alfred Morris,WAS,1,12,43,0,3,2,19,0
Daniel Thomas,MIA,1,1,1,1,2,1,1,0
Jamize Olawale,OAK,1,0,0,0,1,1,1,1
Joique Bell,DET,1,13,60,0,0,0,0,0
Ronnie Hillman,DEN,1,15,56,0,2,1,2,0
Tre Mason,STL,1,11,28,0,4,3,29,0
Rashad Jennings,NYG,1,10,33,0,5,3,21,0
