,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Tim Hightower,NO,1,27,122,2,3,3,47,0
DeAngelo Williams,PIT,1,17,100,2,6,6,53,0
Jerick McKinnon,MIN,1,7,89,2,3,2,8,0
Frank Gore,IND,1,15,85,2,4,2,10,0
David Johnson,ARI,1,9,39,1,6,3,88,0
Adrian Peterson,MIN,1,22,104,1,2,1,15,0
Latavius Murray,OAK,1,19,79,1,5,5,38,0
Charles Sims,TB,1,4,45,0,5,3,72,1
Javorius Allen,BAL,1,18,79,1,5,5,35,0
Mike Gillislee,BUF,1,9,93,1,2,2,16,0
Karlos Williams,BUF,1,17,76,1,2,2,21,0
Todd Gurley,STL,1,19,85,1,1,1,7,0
Devonta Freeman,ATL,1,22,73,1,5,3,17,0
Isaiah Crowell,CLE,1,16,88,1,0,0,0,0
Eddie Lacy,GB,1,12,60,0,2,1,28,1
C.J. Anderson,DEN,1,9,73,1,2,1,8,0
Ka'Deem Carey,CHI,1,7,16,1,1,1,1,1
Rashad Jennings,NYG,1,14,74,0,3,2,62,0
Travaris Cadet,NO,1,1,6,0,5,3,69,1
Lamar Miller,MIA,1,15,31,1,6,5,36,0
Doug Martin,TB,1,17,49,1,3,1,6,0
DeMarco Murray,PHI,1,5,27,1,4,3,24,0
Donald Brown,SD,1,14,17,1,4,3,33,0
Danny Woodhead,SD,1,11,55,0,10,8,53,0
Darren McFadden,DAL,1,19,99,0,1,1,-1,0
James White,NE,1,2,4,0,5,5,28,1
Bilal Powell,NYJ,1,7,56,0,7,5,34,0
Pierre Thomas,WAS,1,4,22,0,8,7,67,0
DuJuan Harris,SF,1,11,73,0,2,1,11,0
Jeremy Langford,CHI,1,19,83,0,2,0,0,0
Theo Riddick,DET,1,7,20,0,8,7,63,0
Joique Bell,DET,1,7,13,1,3,2,9,0
Ryan Mathews,PHI,1,4,5,1,3,2,13,0
Matt Forte,CHI,1,11,54,0,4,3,23,0
Ronnie Hillman,DEN,1,9,35,0,4,4,37,0
Chris Thompson,WAS,1,0,0,0,1,1,12,1
Denard Robinson,JAC,1,6,20,0,7,5,51,0
Darren Sproles,PHI,1,5,9,0,9,7,56,0
Jeremy Hill,CIN,1,19,63,0,2,2,-2,0
Charcandrick West,KC,1,14,62,0,1,1,-1,0
Brandon Bolden,NE,1,9,30,0,7,5,30,0
Cameron Artis-Payne,CAR,1,5,49,0,1,1,7,0
Kyle Juszczyk,BAL,1,0,0,0,7,5,55,0
Fred Jackson,SEA,1,2,11,0,8,5,43,0
Bishop Sankey,TEN,1,2,11,0,4,3,43,0
Alfred Blue,HOU,1,15,45,0,1,1,5,0
Alfred Morris,WAS,1,17,49,0,1,0,0,0
Ameer Abdullah,DET,1,8,39,0,4,4,9,0
Kerwynn Williams,ARI,1,8,44,0,1,1,4,0
Jarryd Hayne,SF,1,9,27,0,6,5,20,0
Andre Ellington,ARI,1,7,40,0,1,1,5,0
Giovani Bernard,CIN,1,8,14,0,5,4,29,0
Chris Ivory,NYJ,1,11,38,0,4,4,4,0
Terrance West,BAL,1,13,42,0,0,0,0,0
Duke Johnson,CLE,1,8,26,0,4,3,15,0
Chris Polk,HOU,1,11,38,0,0,0,0,0
Fozzy Whittaker,CAR,1,5,32,0,2,2,6,0
Stevan Ridley,NYJ,1,7,36,0,0,0,0,0
Damien Williams,MIA,1,0,0,0,3,3,33,0
Jonas Gray,JAC,1,5,31,0,0,0,0,0
Mike Tolbert,CAR,1,2,12,0,3,2,17,0
Jonathan Grimes,HOU,1,6,25,0,0,0,0,0
Orleans Darkwa,NYG,1,1,9,0,1,1,15,0
Shane Vereen,NYG,1,1,3,0,5,2,21,0
Jay Ajayi,MIA,1,9,23,0,0,0,0,0
Robert Turbin,DAL,1,5,23,0,1,0,0,0
Christine Michael,SEA,1,6,6,0,2,2,14,0
Austin Johnson,NO,1,0,0,0,3,2,19,0
David Cobb,TEN,1,7,18,0,1,1,-2,0
Steven Jackson,NE,1,7,15,0,0,0,0,0
Spencer Ware,KC,1,5,15,0,0,0,0,0
Matt Asiata,MIN,1,5,14,0,1,0,0,0
Benny Cunningham,STL,1,1,0,0,3,3,14,0
Dan Herron,IND,1,6,14,0,0,0,0,0
Kendall Gaskins,SF,1,2,12,0,0,0,0,0
James Starks,GB,1,3,11,0,0,0,0,0
Bryce Brown,SEA,1,7,9,0,1,0,0,0
Akeem Hunt,HOU,1,2,3,0,2,1,6,0
Rex Burkhead,CIN,1,0,0,0,1,1,8,0
Tre Mason,STL,1,3,3,0,1,1,3,0
Fitzgerald Toussaint,PIT,1,2,6,0,0,0,0,0
Taiwan Jones,OAK,1,0,0,0,2,1,5,0
Andre Williams,NYG,1,3,5,0,0,0,0,0
John Kuhn,GB,1,1,3,0,0,0,0,0
Zach Line,MIN,1,1,3,0,0,0,0,0
Marcel Reece,OAK,1,0,0,0,3,2,3,0
Terron Ward,ATL,1,2,3,0,0,0,0,0
Antonio Andrews,TEN,1,2,1,0,2,0,0,0
Joey Iosefa,NE,1,1,0,0,0,0,0,0
Will Johnson,PIT,1,0,0,0,1,0,0,0
Bruce Miller,SF,1,0,0,0,1,0,0,0
John Crockett,GB,1,4,-1,0,0,0,0,0
Will Tukuafu,SEA,1,1,-5,0,0,0,0,0
Kenjon Barner,PHI,1,0,0,0,3,1,-7,0
