,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Jeremy Maclin,PHI,1,7,6,158,2,0,0,0
Mike Evans,TB,1,11,7,124,2,0,0,0
Allen Hurns,JAC,1,9,7,112,2,0,0,0
Antonio Brown,PIT,1,16,11,144,1,0,0,0
DeSean Jackson,WAS,1,7,4,120,1,0,0,0
DeAndre Hopkins,HOU,1,11,6,115,1,0,0,0
Martavis Bryant,PIT,1,5,3,44,2,1,3,0
Mohamed Sanu,CIN,1,8,4,95,1,1,9,0
Odell Beckham Jr.,NYG,1,11,8,156,0,0,0,0
Anquan Boldin,SF,1,7,6,93,1,0,0,0
Emmanuel Sanders,DEN,1,16,10,151,0,0,0,0
Julian Edelman,NE,1,10,9,89,1,0,0,0
Taylor Gabriel,CLE,1,6,5,87,1,0,0,0
Percy Harvin,NYJ,1,13,11,129,0,1,8,0
T.Y. Hilton,IND,1,6,3,71,1,0,0,0
Reggie Wayne,IND,1,10,4,70,1,0,0,0
Demaryius Thomas,DEN,1,11,7,127,0,0,0,0
Markus Wheaton,PIT,1,4,2,62,1,1,4,0
Eric Decker,NYJ,1,12,9,63,1,0,0,0
Torrey Smith,BAL,1,7,4,63,1,0,0,0
Brandon LaFell,NE,1,13,6,53,1,0,0,0
Corey Washington,NYG,1,6,4,48,1,0,0,0
Jarvis Landry,MIA,1,6,5,46,1,0,0,0
A.J. Green,CIN,1,6,3,44,1,1,-3,0
Jordan Matthews,PHI,1,4,3,40,1,0,0,0
Kenny Britt,STL,1,4,2,32,1,0,0,0
Vincent Jackson,TB,1,12,6,86,0,0,0,0
Rishard Matthews,MIA,1,1,1,21,1,0,0,0
Greg Jennings,MIN,1,10,6,76,0,0,0,0
Jaron Brown,ARI,1,2,2,15,1,0,0,0
Dez Bryant,DAL,1,10,2,15,1,0,0,0
Kenny Stills,NO,1,8,5,72,0,0,0,0
Larry Fitzgerald,ARI,1,6,5,70,0,0,0,0
Malcom Floyd,SD,1,5,4,60,0,0,0,0
Jerricho Cotchery,CAR,1,5,2,59,0,0,0,0
Dwayne Bowe,KC,1,10,6,55,0,0,0,0
Miles Austin,CLE,1,5,3,54,0,0,0,0
Travis Benjamin,CLE,1,4,2,52,0,0,0,0
Brian Hartline,MIA,1,7,5,50,0,0,0,0
Mike Wallace,MIA,1,8,3,50,0,0,0,0
Rueben Randle,NYG,1,11,4,49,0,0,0,0
Keenan Allen,SD,1,9,4,47,0,0,0,0
Hakeem Nicks,IND,1,4,3,44,0,0,0,0
Ted Ginn Jr.,ARI,1,2,2,42,0,0,0,0
Steve Johnson,SF,1,5,3,41,0,0,0,0
Michael Crabtree,SF,1,9,5,40,0,0,0,0
Cecil Shorts,JAC,1,7,5,40,0,0,0,0
Doug Baldwin,SEA,1,6,5,38,0,0,0,0
Brandin Cooks,NO,1,3,3,38,0,0,0,0
Marques Colston,NO,1,3,3,36,0,0,0,0
Michael Floyd,ARI,1,5,4,36,0,0,0,0
Steve Smith,BAL,1,8,5,36,0,0,0,0
Danny Amendola,NE,1,3,2,35,0,0,0,0
Allen Robinson,JAC,1,8,4,35,0,0,0,0
Andrew Hawkins,CLE,1,8,3,34,0,0,0,0
Wes Welker,DEN,1,8,3,31,0,0,0,0
Jarius Wright,MIN,1,4,2,29,0,0,0,0
Andre Holmes,OAK,1,5,2,28,0,0,0,0
Marlon Brown,BAL,1,3,3,27,0,0,0,0
Riley Cooper,PHI,1,6,2,26,0,0,0,0
Josh Huff,PHI,1,4,3,26,0,0,0,0
Robert Meachem,NO,1,2,1,25,0,0,0,0
Brice Butler,OAK,1,2,2,20,0,0,0,0
Kevin Norwood,SEA,1,1,1,19,0,0,0,0
Terrance Williams,DAL,1,7,2,19,0,0,0,0
Tavon Austin,STL,1,3,2,11,0,2,7,0
Kelvin Benjamin,CAR,1,10,2,18,0,0,0,0
Brandon Gibson,MIA,1,2,1,18,0,0,0,0
James Jones,OAK,1,5,3,18,0,0,0,0
Andre Roberts,WAS,1,5,2,18,0,0,0,0
Damaris Johnson,HOU,1,2,2,16,0,0,0,0
Pierre Garcon,WAS,1,5,3,15,0,0,0,0
Charles Johnson,MIN,1,1,1,13,0,0,0,0
Jeff Maehl,PHI,1,3,2,13,0,0,0,0
Louis Murphy,TB,1,4,2,13,0,0,0,0
Albert Wilson,KC,1,1,1,13,0,0,0,0
Kamar Aiken,BAL,1,1,1,12,0,0,0,0
