,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Demaryius Thomas,DEN,1,13,10,87,3,0,0,0
Odell Beckham Jr.,NYG,1,11,10,146,2,1,-2,0
Dez Bryant,DAL,1,9,7,86,2,0,0,0
Anquan Boldin,SF,1,12,9,137,1,0,0,0
T.Y. Hilton,IND,1,5,4,122,1,1,15,0
Robert Woods,BUF,1,11,9,118,1,0,0,0
Jarvis Landry,MIA,1,11,7,50,2,0,0,0
Keenan Allen,SD,1,9,6,104,1,0,0,0
Stedman Bailey,STL,1,9,7,89,1,0,0,0
Steve Smith,BAL,1,6,4,89,1,0,0,0
Marques Colston,NO,1,4,4,82,1,0,0,0
Joe Morgan,NO,1,1,1,62,0,1,67,0
Julio Jones,ATL,1,13,5,68,1,0,0,0
Emmanuel Sanders,DEN,1,13,9,125,0,1,3,0
Cole Beasley,DAL,1,2,2,66,1,0,0,0
Justin Hunter,TEN,1,10,4,64,1,0,0,0
A.J. Green,CIN,1,16,12,121,0,0,0,0
Josh Gordon,CLE,1,16,8,120,0,0,0,0
Vincent Jackson,TB,1,9,5,117,0,0,0,0
Louis Murphy,TB,1,8,6,113,0,0,0,0
Charles Johnson,MIN,1,11,3,52,1,0,0,0
Golden Tate,DET,1,11,4,97,0,1,13,0
Mohamed Sanu,CIN,1,7,5,48,1,1,1,0
Mike Evans,TB,1,11,3,47,1,0,0,0
James Jones,OAK,1,6,5,47,1,0,0,0
Tavon Austin,STL,1,3,3,11,0,3,27,1
Greg Jennings,MIN,1,6,4,38,1,0,0,0
Brandon LaFell,NE,1,12,9,98,0,0,0,0
Torrey Smith,BAL,1,6,5,98,0,0,0,0
Kenny Stills,NO,1,9,8,98,0,1,-2,0
Roddy White,ATL,1,10,9,96,0,0,0,0
Mike Wallace,MIA,1,5,4,35,1,0,0,0
Andrew Hawkins,CLE,1,5,5,93,0,0,0,0
