,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Odell Beckham Jr.,NYG,1,15,12,143,3,1,0,0
Dez Bryant,DAL,1,7,6,114,3,0,0,0
Demaryius Thomas,DEN,1,11,6,123,1,0,0,0
Mike Wallace,MIA,1,7,5,104,1,1,0,0
Julian Edelman,NE,1,10,7,88,1,1,6,0
Devin Hester,ATL,1,6,5,85,1,0,0,0
Alshon Jeffery,CHI,1,9,4,78,1,0,0,0
Harry Douglas,ATL,1,14,10,131,0,0,0,0
Marques Colston,NO,1,7,5,65,1,0,0,0
Antonio Brown,PIT,1,10,10,123,0,0,0,0
Roddy White,ATL,1,10,7,58,1,0,0,0
James Jones,OAK,1,11,8,57,1,0,0,0
Randall Cobb,GB,1,13,7,96,0,3,15,0
Jerricho Cotchery,CAR,1,5,5,47,1,0,0,0
Kelvin Benjamin,CAR,1,13,8,104,0,0,0,0
Hakeem Nicks,IND,1,2,2,44,1,0,0,0
Greg Jennings,MIN,1,5,3,43,1,0,0,0
Golden Tate,DET,1,7,7,38,1,2,5,0
Nate Washington,TEN,1,10,6,102,0,0,0,0
Eric Decker,NYJ,1,11,7,100,0,0,0,0
Jarvis Landry,MIA,1,11,8,99,0,0,0,0
Jeremy Maclin,PHI,1,6,4,98,0,0,0,0
Paul Richardson,SEA,1,5,3,30,1,0,0,0
Stedman Bailey,STL,1,8,5,74,0,1,13,0
Andre Roberts,WAS,1,4,2,81,0,0,0,0
Jermaine Kearse,SEA,1,6,5,78,0,0,0,0
DeAndre Hopkins,HOU,1,13,5,77,0,0,0,0
Cecil Shorts,JAC,1,11,6,76,0,0,0,0
Marquess Wilson,CHI,1,5,3,16,1,0,0,0
Mike Evans,TB,1,8,2,13,1,0,0,0
Charles Johnson,MIN,1,7,5,72,0,0,0,0
Andre Holmes,OAK,1,12,5,70,0,0,0,0
Allen Hurns,JAC,1,9,6,70,0,0,0,0
Vincent Jackson,TB,1,10,6,70,0,0,0,0
Dwayne Bowe,KC,1,7,3,69,0,0,0,0
Albert Wilson,KC,1,5,3,69,0,0,0,0
Kenny Stills,NO,1,7,5,67,0,0,0,0
Marlon Brown,BAL,1,5,5,66,0,0,0,0
Brandon LaFell,NE,1,8,6,66,0,0,0,0
Markus Wheaton,PIT,1,5,5,66,0,0,0,0
Kenny Britt,STL,1,9,5,65,0,0,0,0
Michael Floyd,ARI,1,3,2,55,0,0,0,0
Jordy Nelson,GB,1,12,5,55,0,0,0,0
Doug Baldwin,SEA,1,6,3,53,0,0,0,0
Calvin Johnson,DET,1,6,4,53,0,0,0,0
Emmanuel Sanders,DEN,1,3,3,53,0,0,0,0
T.Y. Hilton,IND,1,8,4,50,0,0,0,0
A.J. Green,CIN,1,11,5,49,0,0,0,0
Jarius Wright,MIN,1,6,4,49,0,0,0,0
Josh Gordon,CLE,1,4,3,48,0,0,0,0
