,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Antonio Brown,PIT,1,17,13,187,1,0,0,0
Calvin Johnson,DET,1,15,10,137,1,0,0,0
Brandon Marshall,NYJ,1,16,8,126,1,0,0,0
Devin Funchess,CAR,1,8,7,120,1,0,0,0
Demaryius Thomas,DEN,1,9,5,117,1,0,0,0
Jordan Matthews,PHI,1,9,7,54,2,0,0,0
Cole Beasley,DAL,1,7,5,53,2,0,0,0
Terrance Williams,DAL,1,9,8,173,0,0,0,0
Jamison Crowder,WAS,1,7,5,109,1,0,0,0
DeVante Parker,MIA,1,6,5,106,1,0,0,0
Tyrell Williams,SD,1,5,2,90,1,0,0,0
Julio Jones,ATL,1,11,9,149,0,0,0,0
Rueben Randle,NYG,1,7,4,79,1,0,0,0
Sammy Watkins,BUF,1,15,11,136,0,0,0,0
Jeremy Maclin,KC,1,4,3,54,1,1,18,0
Anquan Boldin,SF,1,8,5,71,1,0,0,0
Rashad Ross,WAS,1,3,2,71,1,0,0,0
Markus Wheaton,PIT,1,5,3,57,1,0,0,0
Larry Fitzgerald,ARI,1,7,6,55,1,0,0,0
Jerricho Cotchery,CAR,1,2,2,52,1,0,0,0
Eric Decker,NYJ,1,9,5,50,1,0,0,0
Josh Bellamy,CHI,1,4,3,49,1,0,0,0
Pierre Garcon,WAS,1,4,3,49,1,0,0,0
Allen Robinson,JAC,1,9,5,108,0,0,0,0
Andre Johnson,IND,1,6,4,46,1,0,0,0
James Jones,GB,1,13,4,102,0,0,0,0
Mike Evans,TB,1,9,4,99,0,0,0,0
Emmanuel Sanders,DEN,1,8,5,99,0,0,0,0
Michael Crabtree,OAK,1,7,3,34,1,0,0,0
A.J. Green,CIN,1,5,4,34,1,0,0,0
Jermaine Kearse,SEA,1,3,3,34,1,0,0,0
DeAndre Hopkins,HOU,1,12,7,89,0,0,0,0
Adam Thielen,MIN,1,1,1,16,0,2,67,0
Kenny Britt,STL,1,5,3,81,0,0,0,0
Brandon Coleman,NO,1,8,5,81,0,0,0,0
Dorial Green-Beckham,TEN,1,5,2,21,1,0,0,0
Ryan Grant,WAS,1,4,3,18,1,0,0,0
Jarvis Landry,MIA,1,11,6,72,0,2,6,0
Marc Mariani,CHI,1,8,6,80,0,1,-3,0
Kamar Aiken,BAL,1,13,5,76,0,0,0,0
Darrius Heyward-Bey,PIT,1,5,2,74,0,0,0,0
Greg Jennings,MIA,1,5,4,74,0,0,0,0
Tavon Austin,STL,1,8,5,30,0,6,32,0
Torrey Smith,SF,1,8,5,61,0,0,0,0
Brice Butler,DAL,1,10,4,60,0,0,0,0
Philly Brown,CAR,1,6,3,58,0,0,0,0
Jeremy Butler,BAL,1,8,6,57,0,0,0,0
Jaelen Strong,HOU,1,7,6,56,0,0,0,0
Davante Adams,GB,1,6,4,54,0,0,0,0
Odell Beckham Jr.,NYG,1,7,5,54,0,0,0,0
Travis Benjamin,CLE,1,11,5,53,0,1,0,0
Chris Matthews,BAL,1,5,4,51,0,0,0,0
Jordan Norwood,DEN,1,4,3,48,0,0,0,0
Doug Baldwin,SEA,1,7,5,46,0,0,0,0
John Brown,ARI,1,11,4,45,0,0,0,0
Darius Jennings,CLE,1,10,6,45,0,0,0,0
Deonte Thompson,CHI,1,2,1,45,0,0,0,0
Bruce Ellington,SF,1,1,1,44,0,0,0,0
T.Y. Hilton,IND,1,7,4,44,0,0,0,0
Tyler Lockett,SEA,1,4,2,36,0,2,7,0
Terrelle Pryor,CLE,1,6,1,42,0,0,0,0
Greg Salas,BUF,1,5,3,41,0,0,0,0
Randall Cobb,GB,1,8,6,37,0,1,3,0
Phillip Dorsett,IND,1,9,4,28,0,1,11,0
Marvin Jones,CIN,1,5,5,38,0,0,0,0
Willie Snead,NO,1,4,3,35,0,0,0,0
Justin Hardy,ATL,1,6,4,34,0,0,0,0
Golden Tate,DET,1,6,4,34,0,0,0,0
Quinton Patton,SF,1,2,1,33,0,0,0,0
Donteea Dye,TB,1,7,4,31,0,0,0,0
Javontee Herndon,SD,1,4,3,18,0,1,13,0
Marqise Lee,JAC,1,6,3,30,0,0,0,0
Brenton Bersin,CAR,1,2,2,25,0,0,0,0
Dontrelle Inman,SD,1,6,3,25,0,0,0,0
Hakeem Nicks,NYG,1,4,2,24,0,0,0,0
