,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
T.Y. Hilton,IND,1,15,4,150,2,0,0,0
Nate Washington,HOU,1,16,9,127,2,0,0,0
Mike Evans,TB,1,12,8,164,1,0,0,0
Jarvis Landry,MIA,1,5,5,83,2,1,5,0
Amari Cooper,OAK,1,6,5,133,1,0,0,0
Stefon Diggs,MIN,1,9,6,108,1,1,9,0
Allen Robinson,JAC,1,9,6,98,1,0,0,0
Julio Jones,ATL,1,17,9,92,1,0,0,0
Danny Amendola,NE,1,9,8,86,1,0,0,0
Calvin Johnson,DET,1,7,5,86,1,0,0,0
Robert Woods,BUF,1,13,9,84,1,0,0,0
Tyler Lockett,SEA,1,5,5,79,1,0,0,0
Rishard Matthews,MIA,1,3,3,75,1,0,0,0
Antonio Brown,PIT,1,8,6,124,0,1,6,0
John Brown,ARI,1,6,4,65,1,0,0,0
Chris Conley,KC,1,7,6,63,1,0,0,0
Michael Crabtree,OAK,1,8,6,63,1,0,0,0
Michael Floyd,ARI,1,4,3,59,1,0,0,0
Martavis Bryant,PIT,1,8,3,45,1,1,13,0
Marcus Easley,BUF,1,1,1,58,1,0,0,0
Ryan Grant,WAS,1,3,3,54,1,0,0,0
Allen Hurns,JAC,1,8,2,53,1,0,0,0
Kendall Wright,TEN,1,8,4,46,1,0,0,0
Ted Ginn Jr.,CAR,1,8,5,59,0,1,43,0
Eric Decker,NYJ,1,12,6,94,0,0,0,0
Donte Moncrief,IND,1,6,4,34,1,0,0,0
Keenan Allen,SD,1,13,9,89,0,0,0,0
Jeremy Kerley,NYJ,1,4,3,27,1,0,0,0
Devin Street,DAL,1,1,1,25,1,0,0,0
Brandin Cooks,NO,1,13,6,81,0,0,0,0
Steve Smith,BAL,1,9,5,78,0,0,0,0
Albert Wilson,KC,1,6,3,71,0,0,0,0
Terrance Williams,DAL,1,7,4,70,0,0,0,0
Rueben Randle,NYG,1,5,2,68,0,0,0,0
Donteea Dye,TB,1,1,1,7,1,0,0,0
Brandon Marshall,NYJ,1,7,4,67,0,0,0,0
Tavon Austin,STL,1,7,4,43,0,1,21,0
Jermaine Kearse,SEA,1,4,3,64,0,0,0,0
Chris Hogan,BUF,1,11,6,56,0,0,0,0
Pierre Garcon,WAS,1,6,5,55,0,0,0,0
Julian Edelman,NE,1,9,5,54,0,0,0,0
Miles Austin,PHI,1,6,4,52,0,0,0,0
DeAndre Hopkins,HOU,1,12,6,50,0,0,0,0
Steve Johnson,SD,1,8,4,50,0,0,0,0
Andre Roberts,WAS,1,6,3,49,0,0,0,0
Jamison Crowder,WAS,1,5,5,48,0,0,0,0
Roddy White,ATL,1,4,3,48,0,0,0,0
Travis Benjamin,CLE,1,8,4,47,0,0,0,0
Andre Johnson,IND,1,4,4,44,0,0,0,0
Dwayne Harris,NYG,1,2,2,43,0,0,0,0
Nick Williams,ATL,1,5,3,43,0,0,0,0
Kenny Britt,STL,1,2,1,41,0,0,0,0
Brice Butler,DAL,1,5,2,41,0,0,0,0
Anquan Boldin,SF,1,7,3,39,0,0,0,0
Larry Fitzgerald,ARI,1,5,3,39,0,0,0,0
Philly Brown,CAR,1,5,3,38,0,0,0,0
Greg Jennings,MIA,1,2,2,37,0,0,0,0
Mike Wallace,MIN,1,5,4,36,0,0,0,0
Odell Beckham Jr.,NYG,1,6,4,35,0,0,0,0
Lucky Whitehead,DAL,1,0,0,0,0,4,35,0
Jarius Wright,MIN,1,6,3,31,0,0,0,0
Adam Thielen,MIN,1,2,1,30,0,0,0,0
Louis Murphy,TB,1,1,1,29,0,0,0,0
Dontrelle Inman,SD,1,2,2,26,0,0,0,0
Chris Givens,BAL,1,2,1,31,0,1,-6,0
Brandon LaFell,NE,1,8,2,25,0,0,0,0
Chris Owusu,NYJ,1,4,2,25,0,0,0,0
Willie Snead,NO,1,7,3,25,0,0,0,0
Brandon Coleman,NO,1,1,1,24,0,0,0,0
Marlon Brown,BAL,1,5,3,22,0,0,0,0
Brian Hartline,CLE,1,3,3,22,0,0,0,0
Andrew Hawkins,CLE,1,3,2,21,0,0,0,0
Charles Johnson,MIN,1,2,1,21,0,0,0,0
Marques Colston,NO,1,3,1,20,0,0,0,0
Devin Funchess,CAR,1,2,1,20,0,0,0,0
Doug Baldwin,SEA,1,3,2,19,0,0,0,0
Aaron Dobson,NE,1,3,2,18,0,0,0,0
Justin Hunter,TEN,1,4,2,17,0,0,0,0
Keith Mumphery,HOU,1,3,1,16,0,0,0,0
Markus Wheaton,PIT,1,4,2,16,0,0,0,0
Taylor Gabriel,CLE,1,4,4,15,0,0,0,0
Jordan Matthews,PHI,1,7,3,14,0,0,0,0
Golden Tate,DET,1,6,2,14,0,0,0,0
