,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Antonio Brown,PIT,1,13,9,196,2,0,0,0
Josh Gordon,CLE,1,19,10,146,1,1,22,0
Santonio Holmes,NYJ,1,10,5,154,1,0,0,0
Sidney Rice,SEA,1,7,5,79,2,0,0,0
Eric Decker,DEN,1,8,8,133,1,0,0,0
Denarius Moore,OAK,1,11,6,124,1,0,0,0
Calvin Johnson,DET,1,13,7,115,1,0,0,0
Brandon LaFell,CAR,1,5,3,53,2,0,0,0
Stephen Hill,NYJ,1,6,3,108,1,0,0,0
Kenbrell Thompkins,NE,1,7,3,41,2,0,0,0
Jason Avant,PHI,1,8,5,87,1,0,0,0
Wes Welker,DEN,1,8,7,84,1,0,0,0
Cecil Shorts,JAC,1,15,8,143,0,0,0,0
Ted Ginn Jr.,CAR,1,4,3,71,1,1,11,0
Donnie Avery,KC,1,7,7,141,0,0,0,0
Nate Washington,TEN,1,10,8,131,0,0,0,0
Julio Jones,ATL,1,12,9,115,0,1,7,0
Golden Tate,SEA,1,8,5,88,0,2,29,0
Nate Burleson,DET,1,9,6,116,0,0,0,0
Brian Hartline,MIA,1,6,4,56,1,0,0,0
A.J. Green,CIN,1,8,4,46,1,0,0,0
Dez Bryant,DAL,1,6,4,38,1,0,0,0
Marvin Jones,CIN,1,4,3,38,1,0,0,0
Doug Baldwin,SEA,1,2,1,35,1,0,0,0
Justin Hunter,TEN,1,2,1,34,1,0,0,0
James Jones,GB,1,8,4,34,1,0,0,0
Robert Meachem,NO,1,2,2,34,1,0,0,0
Demaryius Thomas,DEN,1,11,10,94,0,0,0,0
Jordy Nelson,GB,1,9,8,93,0,0,0,0
Torrey Smith,BAL,1,9,5,92,0,0,0,0
Steve Johnson,BUF,1,13,6,86,0,0,0,0
Dwayne Harris,DAL,1,1,1,24,1,0,0,0
Pierre Garcon,WAS,1,13,8,73,0,1,10,0
Earl Bennett,CHI,1,3,2,22,1,0,0,0
