,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Tavon Austin,STL,1,7,6,96,2,2,20,0
Vincent Jackson,TB,1,15,10,147,1,0,0,0
Allen Hurns,JAC,1,15,11,116,1,0,0,0
Leonard Hankerson,ATL,1,8,6,103,1,0,0,0
DeAndre Hopkins,HOU,1,22,9,157,0,0,0,0
Jeremy Maclin,KC,1,13,11,148,0,0,0,0
Cecil Shorts,HOU,1,10,6,87,1,0,0,0
Mike Wallace,MIN,1,10,8,83,1,0,0,0
Kenny Stills,MIA,1,8,5,81,1,0,0,0
Ted Ginn Jr.,CAR,1,3,2,18,2,0,0,0
Kamar Aiken,BAL,1,7,5,77,1,0,0,0
Keenan Allen,SD,1,7,4,72,1,0,0,0
Riley Cooper,PHI,1,3,2,72,1,0,0,0
Brandon Marshall,NYJ,1,11,7,128,0,0,0,0
Pierre Garcon,WAS,1,8,7,55,1,0,0,0
Brandon Tate,CIN,1,1,1,55,1,0,0,0
Eddie Royal,CHI,1,10,7,54,1,0,0,0
Miles Austin,PHI,1,3,2,51,1,0,0,0
Dwayne Harris,NYG,1,6,5,51,1,0,0,0
Amari Cooper,OAK,1,9,4,49,1,0,0,0
Terrance Williams,DAL,1,10,3,49,1,0,0,0
Eric Decker,NYJ,1,5,4,46,1,0,0,0
Larry Fitzgerald,ARI,1,9,7,99,0,0,0,0
James Jones,GB,1,6,5,98,0,0,0,0
Doug Baldwin,SEA,1,4,3,36,1,0,0,0
Demaryius Thomas,DEN,1,12,9,93,0,0,0,0
Darrius Heyward-Bey,PIT,1,5,4,31,1,0,0,0
Rueben Randle,NYG,1,6,3,31,1,0,0,0
Stedman Bailey,STL,1,3,2,30,1,0,0,0
Willie Snead,NO,1,6,6,89,0,0,0,0
John Brown,ARI,1,10,7,75,0,1,13,0
Dontrelle Inman,SD,1,5,3,88,0,0,0,0
Stefon Diggs,MIN,1,10,6,87,0,0,0,0
Michael Campanaro,BAL,1,2,2,16,0,1,9,1
Jermaine Kearse,SEA,1,2,2,84,0,0,0,0
Mohamed Sanu,CIN,1,6,4,84,0,0,0,0
A.J. Green,CIN,1,10,7,82,0,0,0,0
Michael Crabtree,OAK,1,6,5,80,0,0,0,0
Allen Robinson,JAC,1,12,4,80,0,0,0,0
Marquess Wilson,CHI,1,9,6,80,0,0,0,0
Travis Benjamin,CLE,1,10,6,79,0,0,0,0
Donte Moncrief,IND,1,9,6,75,0,0,0,0
Adam Thielen,MIN,1,8,6,70,0,0,0,0
Jarvis Landry,MIA,1,12,4,40,0,2,29,0
Emmanuel Sanders,DEN,1,6,3,68,0,0,0,0
Brice Butler,DAL,1,1,1,67,0,0,0,0
T.Y. Hilton,IND,1,13,7,67,0,0,0,0
Jamison Crowder,WAS,1,12,7,65,0,0,0,0
Nelson Agholor,PHI,1,4,3,64,0,0,0,0
Cole Beasley,DAL,1,6,6,62,0,0,0,0
Michael Floyd,ARI,1,7,5,59,0,0,0,0
Tyler Lockett,SEA,1,5,4,58,0,1,1,0
Calvin Johnson,DET,1,11,7,56,0,0,0,0
Keith Mumphery,HOU,1,7,4,56,0,0,0,0
Brenton Bersin,CAR,1,4,4,54,0,0,0,0
Torrey Smith,SF,1,5,2,54,0,0,0,0
Chris Conley,KC,1,7,2,53,0,0,0,0
Quinton Patton,SF,1,2,2,53,0,0,0,0
Jordan Matthews,PHI,1,8,3,50,0,0,0,0
Ryan Grant,WAS,1,7,5,45,0,0,0,0
Randall Cobb,GB,1,8,5,44,0,0,0,0
Jason Avant,KC,1,5,4,43,0,0,0,0
Chris Hogan,BUF,1,5,5,43,0,0,0,0
Rashad Ross,WAS,1,3,1,43,0,0,0,0
Antonio Brown,PIT,1,9,5,42,0,0,0,0
Odell Beckham Jr.,NYG,1,12,5,38,0,0,0,0
Julio Jones,ATL,1,6,4,38,0,0,0,0
Golden Tate,DET,1,4,3,29,0,1,6,0
Robert Woods,BUF,1,5,3,33,0,0,0,0
Mike Evans,TB,1,8,3,32,0,0,0,0
Steve Johnson,SD,1,8,4,32,0,0,0,0
Brandon Coleman,NO,1,1,1,30,0,0,0,0
Andrew Hawkins,CLE,1,3,2,27,0,0,0,0
Bryan Walters,JAC,1,3,2,27,0,0,0,0
Percy Harvin,BUF,1,8,3,26,0,0,0,0
Louis Murphy,TB,1,4,3,26,0,0,0,0
Brandin Cooks,NO,1,8,4,25,0,0,0,0
Ty Montgomery,GB,1,6,3,15,0,2,10,0
Steve Smith,BAL,1,7,4,24,0,0,0,0
Taylor Gabriel,CLE,1,5,4,22,0,0,0,0
Chris Matthews,SEA,1,1,1,21,0,0,0,0
Lance Moore,DET,1,3,2,21,0,0,0,0
Jaron Brown,ARI,1,2,1,20,0,0,0,0
Malcom Floyd,SD,1,2,1,20,0,0,0,0
Marques Colston,NO,1,5,4,19,0,0,0,0
Markus Wheaton,PIT,1,1,1,18,0,0,0,0
Rishard Matthews,MIA,1,3,1,16,0,0,0,0
Griff Whalen,IND,1,1,1,16,0,0,0,0
Greg Jennings,MIA,1,7,3,15,0,0,0,0
Devin Smith,NYJ,1,6,2,14,0,0,0,0
Anquan Boldin,SF,1,7,3,12,0,0,0,0
Sammie Coates,PIT,1,2,1,11,0,0,0,0
Phillip Dorsett,IND,1,3,2,7,0,1,4,0
Bennie Fowler,DEN,1,1,1,11,0,0,0,0
Marvin Jones,CIN,1,2,1,4,0,1,6,0
Marlon Brown,BAL,1,4,2,9,0,0,0,0
Cordarrelle Patterson,MIN,1,1,1,9,0,0,0,0
Tony Washington,JAC,1,0,0,0,0,1,8,0
Roddy White,ATL,1,4,2,8,0,0,0,0
Nick Williams,ATL,1,1,1,8,0,0,0,0
Brian Hartline,CLE,1,1,1,7,0,0,0,0
Philly Brown,CAR,1,3,1,3,0,0,0,0
Josh Bellamy,CHI,1,3,0,0,0,0,0,0
Dwayne Bowe,CLE,1,1,0,0,0,0,0,0
Kenny Britt,STL,1,1,0,0,0,0,0,0
Andre Caldwell,DEN,1,1,0,0,0,0,0,0
Marcus Easley,BUF,1,1,0,0,0,0,0,0
Quincy Enunwa,NYJ,1,1,0,0,0,0,0,0
Devin Funchess,CAR,1,2,0,0,0,0,0,0
Andre Holmes,OAK,1,1,0,0,0,0,0,0
Andre Johnson,IND,1,2,0,0,0,0,0,0
Marc Mariani,CHI,1,1,0,0,0,0,0,0
Cameron Meredith,CHI,1,2,0,0,0,0,0,0
Seth Roberts,OAK,1,2,0,0,0,0,0,0
