,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Julio Jones,ATL,1,17,11,259,1,0,0,0
A.J. Green,CIN,1,15,11,224,1,0,0,0
T.Y. Hilton,IND,1,19,10,150,2,0,0,0
Jordy Nelson,GB,1,10,8,146,2,0,0,0
Calvin Johnson,DET,1,9,8,158,1,0,0,0
Jarius Wright,MIN,1,5,4,123,1,1,23,0
Julian Edelman,NE,1,12,8,141,1,1,4,0
Odell Beckham Jr.,NYG,1,15,11,130,1,1,9,0
Percy Harvin,NYJ,1,9,6,124,1,2,3,0
Martavis Bryant,PIT,1,6,4,109,1,0,0,0
Mike Evans,TB,1,11,4,45,2,0,0,0
Charles Johnson,MIN,1,8,4,103,1,0,0,0
Cole Beasley,DAL,1,3,3,42,2,0,0,0
Vincent Jackson,TB,1,17,10,159,0,0,0,0
Doug Baldwin,SEA,1,7,5,97,1,0,0,0
Alshon Jeffery,CHI,1,9,6,95,1,0,0,0
Steve Smith,BAL,1,11,7,70,1,0,0,0
Sammy Watkins,BUF,1,12,7,127,0,0,0,0
Kamar Aiken,BAL,1,7,6,65,1,0,0,0
Antonio Brown,PIT,1,14,9,117,0,0,0,0
Malcom Floyd,SD,1,6,3,54,1,0,0,0
Chris Hogan,BUF,1,9,7,54,1,0,0,0
Jaron Brown,ARI,1,3,2,48,1,0,0,0
Roddy White,ATL,1,5,3,42,1,0,0,0
Allen Hurns,JAC,1,10,5,36,1,0,0,0
Pierre Garcon,WAS,1,11,9,95,0,0,0,0
Eric Decker,NYJ,1,8,6,89,0,0,0,0
Michael Floyd,ARI,1,7,4,85,0,0,0,0
Kelvin Benjamin,CAR,1,5,2,24,1,0,0,0
Dez Bryant,DAL,1,8,6,82,0,0,0,0
Wes Welker,DEN,1,6,6,82,0,0,0,0
Jeremy Maclin,PHI,1,6,3,21,1,0,0,0
Marques Colston,NO,1,7,5,72,0,0,0,0
Harry Douglas,ATL,1,3,2,11,1,0,0,0
Brian Hartline,MIA,1,4,2,11,1,0,0,0
Marqise Lee,JAC,1,8,5,67,0,1,4,0
Emmanuel Sanders,DEN,1,6,4,56,0,1,13,0
Eric Weems,ATL,1,1,1,5,1,0,0,0
Jason Avant,KC,1,7,5,64,0,0,0,0
Derek Hagan,TEN,1,7,6,62,0,0,0,0
Brandon Marshall,CHI,1,4,3,61,0,0,0,0
Tavon Austin,STL,1,2,2,14,0,5,46,0
Preston Parker,NYG,1,5,5,60,0,0,0,0
Anquan Boldin,SF,1,9,4,54,0,1,4,0
Randall Cobb,GB,1,5,4,58,0,1,-1,0
Michael Crabtree,SF,1,14,9,56,0,0,0,0
Nate Washington,TEN,1,3,3,56,0,0,0,0
Jarvis Landry,MIA,1,6,6,55,0,0,0,0
Albert Wilson,KC,1,8,4,53,0,0,0,0
Kenny Britt,STL,1,5,2,52,0,0,0,0
