,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Jordy Nelson,GB,1,16,9,209,1,0,0,0
Brandon Marshall,CHI,1,8,5,48,3,0,0,0
Sammy Watkins,BUF,1,11,8,117,1,0,0,0
James Jones,OAK,1,14,9,112,1,0,0,0
Randall Cobb,GB,1,6,5,39,2,2,6,0
Dez Bryant,DAL,1,14,10,103,1,0,0,0
Julian Edelman,NE,1,7,6,81,1,1,9,0
Julio Jones,ATL,1,13,7,88,1,0,0,0
Mohamed Sanu,CIN,1,4,3,84,1,0,0,0
Michael Crabtree,SF,1,9,7,82,1,0,0,0
Eric Decker,NYJ,1,7,4,63,1,0,0,0
Demaryius Thomas,DEN,1,7,5,62,1,0,0,0
Mike Wallace,MIA,1,8,5,56,1,0,0,0
Jason Avant,CAR,1,7,5,54,1,0,0,0
Percy Harvin,SEA,1,1,1,5,0,2,45,1
Emmanuel Sanders,DEN,1,9,8,108,0,1,-2,0
Jeremy Maclin,PHI,1,11,4,45,1,0,0,0
Miles Austin,CLE,1,10,6,44,1,0,0,0
Antonio Brown,PIT,1,12,7,90,0,2,10,0
Rueben Randle,NYG,1,7,4,39,1,0,0,0
Calvin Johnson,DET,1,13,6,83,0,0,0,0
DeAndre Hopkins,HOU,1,5,3,22,1,0,0,0
Andre Roberts,WAS,1,5,4,57,0,1,19,0
Allen Robinson,JAC,1,6,4,75,0,0,0,0
Andre Johnson,HOU,1,7,6,74,0,0,0,0
Brian Quick,STL,1,9,7,74,0,0,0,0
Steve Smith,BAL,1,10,6,71,0,0,0,0
Andrew Hawkins,CLE,1,12,6,70,0,0,0,0
Eddie Royal,SD,1,10,7,69,0,0,0,0
T.Y. Hilton,IND,1,11,6,65,0,0,0,0
Jermaine Kearse,SEA,1,5,4,61,0,0,0,0
Victor Cruz,NYG,1,10,5,60,0,0,0,0
Markus Wheaton,PIT,1,8,5,38,0,2,22,0
Jeremy Kerley,NYJ,1,8,3,22,0,0,37,0
Ryan Grant,WAS,1,8,5,57,0,0,0,0
Golden Tate,DET,1,8,5,57,0,0,0,0
Cordarrelle Patterson,MIN,1,7,4,56,0,0,0,0
Keenan Allen,SD,1,6,5,55,0,0,0,0
Larry Fitzgerald,ARI,1,10,6,51,0,0,0,0
Vincent Jackson,TB,1,7,4,51,0,0,0,0
Davante Adams,GB,1,7,5,50,0,0,0,0
Brandon Tate,CIN,1,3,1,50,0,0,0,0
Mike Evans,TB,1,4,4,49,0,0,0,0
Jarvis Landry,MIA,1,6,5,49,0,0,0,0
Brandin Cooks,NO,1,6,3,17,0,2,31,0
Alshon Jeffery,CHI,1,6,3,47,0,0,0,0
Kelvin Benjamin,CAR,1,8,2,46,0,0,0,0
Jerricho Cotchery,CAR,1,4,4,46,0,0,0,0
Austin Pettis,STL,1,4,3,46,0,0,0,0
Andre Holmes,OAK,1,7,5,45,0,0,0,0
Dane Sanzenbacher,CIN,1,4,2,42,0,0,0,0
Roddy White,ATL,1,8,5,42,0,0,0,0
Dwayne Bowe,KC,1,6,3,40,0,0,0,0
Harry Douglas,ATL,1,8,4,38,0,0,0,0
Robert Meachem,NO,1,5,3,37,0,0,0,0
Brian Hartline,MIA,1,8,5,36,0,0,0,0
