,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Bobby Rainey,TB,1,30,163,2,2,2,4,1
LeSean McCoy,PHI,1,20,77,2,4,4,73,0
Marshawn Lynch,SEA,1,17,54,2,2,2,9,1
Donald Brown,IND,1,14,80,2,1,1,14,0
Rashad Jennings,OAK,1,22,150,1,3,2,-2,0
Ray Rice,BAL,1,25,131,1,5,3,17,0
Chris Johnson,TEN,1,17,86,2,1,1,-2,0
Matt Forte,CHI,1,18,83,0,6,5,42,1
Montee Ball,DEN,1,8,25,2,4,3,16,0
Chris Ivory,NYJ,1,15,98,1,1,0,0,0
Joique Bell,DET,1,9,49,1,4,3,48,0
Antone Smith,ATL,1,2,88,1,1,1,4,0
Ryan Mathews,SD,1,19,127,0,2,2,16,0
Darrel Young,WAS,1,2,6,0,2,1,62,1
Daniel Thomas,MIA,1,10,57,1,1,1,2,0
Ben Tate,HOU,1,19,88,0,6,4,29,0
Eddie Lacy,GB,1,14,27,1,2,2,21,0
Stevan Ridley,NE,1,13,48,1,0,0,0,0
Chris Ogbonnaya,CLE,1,8,69,0,12,6,30,0
Maurice Jones-Drew,JAC,1,14,23,1,4,4,12,0
Andre Brown,NYG,1,18,66,0,5,3,27,0
Alfred Morris,WAS,1,22,93,0,0,0,0,0
Le'Veon Bell,PIT,1,18,36,0,5,4,52,0
Rashard Mendenhall,ARI,1,13,14,1,3,3,13,0
Giovani Bernard,CIN,1,10,45,0,5,4,41,0
Pierre Thomas,NO,1,11,49,0,5,5,35,0
Knowshon Moreno,DEN,1,27,79,0,1,0,0,0
Toby Gerhart,MIN,1,7,67,0,3,1,7,0
Jamaal Charles,KC,1,16,78,0,8,2,-6,0
Shane Vereen,NE,1,1,7,0,11,8,65,0
Brandon Jacobs,NYG,1,5,9,1,0,0,0,0
Frank Summers,BUF,1,2,4,1,1,1,5,0
Jed Collins,NO,1,2,3,1,1,1,3,0
Steven Jackson,ATL,1,11,41,0,2,2,24,0
Adrian Peterson,MIN,1,21,65,0,3,0,0,0
BenJarvus Green-Ellis,CIN,1,16,62,0,0,0,0,0
Will Johnson,PIT,1,0,0,0,1,1,1,1
Fozzy Whittaker,CLE,1,4,20,0,5,5,41,0
Frank Gore,SF,1,13,48,0,3,2,8,0
Reggie Bush,DET,1,12,31,0,5,2,23,0
Dexter McCluster,KC,1,0,0,0,8,5,53,0
Trent Richardson,IND,1,8,22,0,5,5,31,0
Roy Helu,WAS,1,3,39,0,4,3,11,0
LeGarrette Blount,NE,1,10,49,0,0,0,0,0
Fred Jackson,BUF,1,12,34,0,2,2,5,0
Brian Leonard,TB,1,4,16,0,5,4,21,0
Lamar Miller,MIA,1,4,17,0,2,2,20,0
Danny Woodhead,SD,1,5,21,0,2,2,16,0
Darren Sproles,NO,1,3,16,0,4,4,19,0
Bryce Brown,PHI,1,4,2,0,2,2,28,0
Jacquizz Rodgers,ATL,1,6,22,0,2,1,8,0
Mark Ingram,NO,1,6,25,0,2,1,4,0
Robert Turbin,SEA,1,7,17,0,2,1,12,0
Bilal Powell,NYJ,1,5,27,0,1,1,1,0
DeAngelo Williams,CAR,1,6,14,0,3,2,11,0
Knile Davis,KC,1,3,13,0,1,1,11,0
John Kuhn,GB,1,1,12,0,3,3,11,0
Marcel Reece,OAK,1,4,6,0,5,2,17,0
Anthony Sherman,KC,1,1,1,0,3,2,18,0
Bernard Pierce,BAL,1,10,18,0,0,0,0,0
Willis McGahee,CLE,1,6,13,0,2,2,4,0
Mike Tolbert,CAR,1,6,17,0,0,0,0,0
C.J. Spiller,BUF,1,13,6,0,2,2,10,0
Andre Ellington,ARI,1,8,3,0,2,2,10,0
Jerome Felton,MIN,1,0,0,0,2,2,13,0
Stanley Havili,IND,1,1,4,0,1,1,9,0
Jonathan Dwyer,PIT,1,1,0,0,2,2,12,0
LaMichael James,SF,1,2,7,0,1,1,4,0
Shonn Greene,TEN,1,3,10,0,0,0,0,0
Jonathan Stewart,CAR,1,4,10,0,0,0,0,0
Christine Michael,SEA,1,1,9,0,0,0,0,0
Bruce Miller,SF,1,0,0,0,2,2,8,0
Josh Vaughan,ATL,1,1,1,0,2,2,7,0
Michael Robinson,SEA,1,0,0,0,1,1,6,0
Tommy Bohanon,NYJ,1,0,0,0,2,2,5,0
Michael Bush,CHI,1,3,5,0,0,0,0,0
Jordan Todman,JAC,1,2,9,0,1,1,-5,0
Erik Lorig,TB,1,0,0,0,2,1,3,0
John Conner,NYG,1,0,0,0,3,2,2,0
Dennis Johnson,HOU,1,2,2,0,0,0,0,0
Tashard Choice,BUF,1,2,1,0,1,1,0,0
Kendall Hunter,SF,1,4,1,0,0,0,0,0
Vonta Leach,BAL,1,1,1,0,1,0,0,0
Tony Fiammetta,CHI,1,0,0,0,1,0,0,0
Felix Jones,PIT,1,1,0,0,0,0,0,0
Greg Jones,HOU,1,0,0,0,1,0,0,0
Theo Riddick,DET,1,0,0,0,1,0,0,0
James Starks,GB,1,2,-1,0,0,0,0,0
