,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Philadelphia Eagles,1,9,2,3,1,21,215.0,102.0,0,1
Arizona Cardinals,1,6,1,2,2,14,174.0,70.0,0,0
Green Bay Packers,1,4,1,2,1,14,256.0,55.0,0,0
Dallas Cowboys,1,4,2,1,0,17,262.0,71.0,1,0
Atlanta Falcons,1,4,1,2,0,17,281.0,92.0,0,0
Baltimore Ravens,1,5,1,1,0,7,143.0,67.0,0,0
Buffalo Bills,1,6,1,0,0,17,151.0,127.0,0,0
Chicago Bears,1,0,1,0,0,55,319.0,132.0,0,1
New York Jets,1,2,2,2,0,13,326.0,36.0,0,0
Cleveland Browns,1,2,1,3,0,3,79.0,86.0,0,0
San Francisco 49ers,1,2,1,2,0,24,287.0,136.0,0,0
New Orleans Saints,1,4,1,0,0,27,186.0,144.0,0,0
New York Giants,1,2,1,2,0,38,160.0,350.0,0,0
Detroit Lions,1,3,1,1,0,16,178.0,50.0,0,0
Seattle Seahawks,1,2,1,1,0,17,270.0,54.0,0,0
St. Louis Rams,1,3,0,1,0,31,307.0,28.0,0,0
Kansas City Chiefs,1,1,3,0,0,13,253.0,111.0,0,0
Miami Dolphins,1,3,0,1,0,20,288.0,63.0,0,0
Pittsburgh Steelers,1,4,0,0,0,20,125.0,150.0,0,0
Denver Broncos,1,0,1,2,0,17,192.0,30.0,0,0
Jacksonville Jaguars,1,1,1,0,0,31,248.0,151.0,0,0
Oakland Raiders,1,0,0,2,0,41,353.0,118.0,0,0
Tampa Bay Buccaneers,1,1,0,0,0,27,212.0,110.0,0,0
Tennessee Titans,1,1,0,0,0,21,161.0,151.0,0,0
Carolina Panthers,1,1,0,0,0,45,328.0,37.0,0,0
Cincinnati Bengals,1,0,1,0,0,24,198.0,170.0,0,0
